ticker,company,market,meeting_type,run_no,status,elapsed_s,agenda,for,against,review,candidates
241560,두산밥캣,KOSPI,annual,2,exact,0.0,5,3,0,2,2
241560,두산밥캣,KOSPI,annual,3,exact,0.3,5,3,0,2,2
001040,CJ,KOSPI,annual,1,exact,28.9,6,2,0,4,10
001040,CJ,KOSPI,annual,2,exact,0.2,6,2,0,4,10
454910,두산로보틱스,KOSPI,annual,1,exact,11.2,4,1,0,3,2
001040,CJ,KOSPI,annual,3,exact,0.0,6,2,0,4,10
454910,두산로보틱스,KOSPI,annual,2,exact,0.0,4,1,0,3,2
454910,두산로보틱스,KOSPI,annual,3,exact,0.0,4,1,0,3,2
138930,BNK금융지주,KOSPI,annual,1,exact,12.8,9,1,0,8,5
138930,BNK금융지주,KOSPI,annual,2,exact,0.0,9,1,0,8,5
138930,BNK금융지주,KOSPI,annual,3,exact,0.0,9,1,0,8,5
001440,대한전선,KOSPI,annual,1,exact,40.0,10,3,0,7,8
001440,대한전선,KOSPI,annual,2,exact,0.0,10,3,0,7,8
001440,대한전선,KOSPI,annual,3,exact,0.0,10,3,0,7,8
175330,JB금융지주,KOSPI,annual,1,exact,40.5,7,2,0,5,6
175330,JB금융지주,KOSPI,annual,2,exact,0.0,7,2,0,5,6
175330,JB금융지주,KOSPI,annual,3,exact,0.0,7,2,0,5,6
271560,오리온,KOSPI,annual,1,exact,40.4,4,3,0,1,3
271560,오리온,KOSPI,annual,2,exact,0.0,4,3,0,1,3
271560,오리온,KOSPI,annual,3,exact,0.3,4,3,0,1,3
021240,코웨이,KOSPI,annual,1,exact,9.8,10,2,0,8,5
021240,코웨이,KOSPI,annual,2,exact,0.2,10,2,0,8,5
021240,코웨이,KOSPI,annual,3,exact,0.0,10,2,0,8,5
022100,포스코DX,KOSPI,annual,1,exact,9.5,5,1,0,4,3
022100,포스코DX,KOSPI,annual,2,exact,0.0,5,1,0,4,3
022100,포스코DX,KOSPI,annual,3,exact,0.0,5,1,0,4,3
036570,엔씨소프트,KOSPI,annual,1,exact,8.9,8,1,0,7,4
036570,엔씨소프트,KOSPI,annual,2,exact,0.0,8,1,0,7,4
036570,엔씨소프트,KOSPI,annual,3,exact,0.0,8,1,0,7,4
196170,알테오젠,KOSDAQ,annual,1,exact,12.1,3,0,0,3,3
196170,알테오젠,KOSDAQ,annual,2,exact,0.0,3,0,0,3,3
196170,알테오젠,KOSDAQ,annual,3,exact,0.0,3,0,0,3,3
247540,에코프로비엠,KOSDAQ,annual,1,exact,13.0,10,8,0,2,14
247540,에코프로비엠,KOSDAQ,annual,2,exact,0.6,10,8,0,2,14
247540,에코프로비엠,KOSDAQ,annual,3,exact,0.0,10,8,0,2,14
086520,에코프로,KOSDAQ,annual,1,exact,14.2,10,0,0,10,8
086520,에코프로,KOSDAQ,annual,2,exact,0.0,10,0,0,10,8
086520,에코프로,KOSDAQ,annual,3,exact,0.0,10,0,0,10,8
058470,리노공업,KOSDAQ,annual,1,exact,5.8,10,1,0,9,2
058470,리노공업,KOSDAQ,annual,2,exact,0.0,10,1,0,9,2
058470,리노공업,KOSDAQ,annual,3,exact,0.0,10,1,0,9,2
000250,삼천당제약,KOSDAQ,annual,1,exact,6.3,8,3,0,5,3
000250,삼천당제약,KOSDAQ,annual,2,exact,0.0,8,3,0,5,3
000250,삼천당제약,KOSDAQ,annual,3,exact,0.0,8,3,0,5,3
277810,레인보우로보틱스,KOSDAQ,annual,1,exact,8.7,10,1,0,9,0
277810,레인보우로보틱스,KOSDAQ,annual,2,exact,0.0,10,1,0,9,0
277810,레인보우로보틱스,KOSDAQ,annual,3,exact,0.0,10,1,0,9,0
028300,HLB,KOSDAQ,annual,1,exact,11.8,7,1,3,3,3
028300,HLB,KOSDAQ,annual,2,exact,0.0,7,1,3,3,3
028300,HLB,KOSDAQ,annual,3,exact,0.0,7,1,3,3,3
298380,에이비엘바이오,KOSDAQ,annual,1,exact,11.9,8,3,0,5,3
298380,에이비엘바이오,KOSDAQ,annual,2,exact,0.0,8,3,0,5,3
298380,에이비엘바이오,KOSDAQ,annual,3,exact,0.0,8,3,0,5,3
950160,코오롱티슈진,KOSDAQ,annual,1,exact,17.4,7,1,0,6,2
950160,코오롱티슈진,KOSDAQ,annual,2,exact,0.0,7,1,0,6,2
950160,코오롱티슈진,KOSDAQ,annual,3,exact,0.0,7,1,0,6,2
141080,리가켐바이오,KOSDAQ,annual,1,exact,6.0,8,1,0,7,1
141080,리가켐바이오,KOSDAQ,annual,2,exact,0.0,8,1,0,7,1
141080,리가켐바이오,KOSDAQ,annual,3,exact,0.0,8,1,0,7,1
036930,주성엔지니어링,KOSDAQ,annual,1,exact,15.3,10,1,0,9,6
036930,주성엔지니어링,KOSDAQ,annual,2,exact,0.0,10,1,0,9,6
036930,주성엔지니어링,KOSDAQ,annual,3,exact,0.0,10,1,0,9,6
087010,펩트론,KOSDAQ,annual,1,exact,20.9,10,1,0,9,0
087010,펩트론,KOSDAQ,annual,2,exact,0.0,10,1,0,9,0
087010,펩트론,KOSDAQ,annual,3,exact,0.0,10,1,0,9,0
039030,이오테크닉스,KOSDAQ,annual,1,exact,16.0,10,2,0,8,2
039030,이오테크닉스,KOSDAQ,annual,2,exact,0.0,10,2,0,8,2
039030,이오테크닉스,KOSDAQ,annual,3,exact,0.0,10,2,0,8,2
240810,원익IPS,KOSDAQ,annual,1,exact,7.2,10,5,0,5,3
240810,원익IPS,KOSDAQ,annual,2,exact,0.0,10,5,0,5,3
240810,원익IPS,KOSDAQ,annual,3,exact,0.0,10,5,0,5,3
214370,케어젠,KOSDAQ,annual,1,exact,7.2,5,2,0,3,2
214370,케어젠,KOSDAQ,annual,2,exact,0.0,5,2,0,3,2
214370,케어젠,KOSDAQ,annual,3,exact,0.0,5,2,0,3,2
310210,보로노이,KOSDAQ,annual,1,exact,7.2,10,2,0,8,1
310210,보로노이,KOSDAQ,annual,2,exact,0.0,10,2,0,8,1
310210,보로노이,KOSDAQ,annual,3,exact,0.0,10,2,0,8,1
095340,ISC,KOSDAQ,annual,1,exact,6.0,10,4,0,6,3
095340,ISC,KOSDAQ,annual,2,exact,0.0,10,4,0,6,3
095340,ISC,KOSDAQ,annual,3,exact,0.0,10,4,0,6,3
108490,로보티즈,KOSDAQ,annual,1,exact,5.8,3,1,0,2,0
108490,로보티즈,KOSDAQ,annual,2,exact,0.0,3,1,0,2,0
108490,로보티즈,KOSDAQ,annual,3,exact,0.0,3,1,0,2,0
