ticker,company,market,run_no,status,elapsed_s,major_count,treasury_pct
257720,실리콘투,KOSDAQ,2,exact,1.1,0,0
031980,피에스케이홀딩스,KOSDAQ,2,exact,1.2,0,0
098460,고영,KOSDAQ,2,exact,1.4,0,0
257720,실리콘투,KOSDAQ,3,exact,1.2,0,0
031980,피에스케이홀딩스,KOSDAQ,3,exact,1.2,0,0
098460,고영,KOSDAQ,3,exact,1.3,0,0
140410,메지온,KOSDAQ,1,exact,1.1,0,0
067310,하나마이크론,KOSDAQ,1,exact,1.2,0,0
082920,비츠로셀,KOSDAQ,1,exact,1.1,0,0
140410,메지온,KOSDAQ,2,exact,1.1,0,0
067310,하나마이크론,KOSDAQ,2,exact,1.2,0,0
082920,비츠로셀,KOSDAQ,2,exact,1.2,0,0
140410,메지온,KOSDAQ,3,exact,1.2,0,0
067310,하나마이크론,KOSDAQ,3,exact,1.1,0,0
082920,비츠로셀,KOSDAQ,3,exact,1.2,0,0
319660,피에스케이,KOSDAQ,1,exact,1.1,0,0
030530,원익홀딩스,KOSDAQ,1,exact,1.1,0,0
131970,두산테스나,KOSDAQ,1,exact,1.1,0,0
319660,피에스케이,KOSDAQ,2,exact,1.2,0,0
030530,원익홀딩스,KOSDAQ,2,exact,1.1,0,0
131970,두산테스나,KOSDAQ,2,exact,1.1,0,0
319660,피에스케이,KOSDAQ,3,exact,1.2,0,0
030530,원익홀딩스,KOSDAQ,3,exact,1.1,0,0
131970,두산테스나,KOSDAQ,3,exact,1.2,0,0
218410,RFHIC,KOSDAQ,1,exact,1.2,0,0
066430,아이로보틱스,KOSDAQ,1,exact,1.2,0,0
459510,나우로보틱스,KOSDAQ,1,exact,1.2,0,0
218410,RFHIC,KOSDAQ,2,exact,1.0,0,0
066430,아이로보틱스,KOSDAQ,2,exact,1.1,0,0
459510,나우로보틱스,KOSDAQ,2,exact,1.0,0,0
218410,RFHIC,KOSDAQ,3,exact,1.1,0,0
066430,아이로보틱스,KOSDAQ,3,exact,1.1,0,0
459510,나우로보틱스,KOSDAQ,3,exact,1.0,0,0
067170,오텍,KOSDAQ,1,exact,1.1,0,0
042040,케이피엠테크,KOSDAQ,1,exact,1.1,0,0
007720,소노스퀘어,KOSDAQ,1,exact,1.6,0,0
067170,오텍,KOSDAQ,2,exact,1.1,0,0
042040,케이피엠테크,KOSDAQ,2,exact,1.0,0,0
007720,소노스퀘어,KOSDAQ,2,exact,1.5,0,0
067170,오텍,KOSDAQ,3,exact,1.1,0,0
042040,케이피엠테크,KOSDAQ,3,exact,1.1,0,0
052690,한전기술,KOSPI,1,exact,1.1,0,0
007720,소노스퀘어,KOSDAQ,3,exact,1.7,0,0
299660,셀리드,KOSDAQ,1,exact,1.1,0,0
