corp_code,corp_name,stock_code,rcept_no,rcept_dt,report_nm,is_correction,is_extraordinary
00133238,성지건설,005980,20260407001889,20260407,주주총회소집공고,False,False
00417167,풍원정밀,371950,20260316000757,20260316,주주총회소집공고,False,False
00417167,풍원정밀,371950,20250313000889,20250313,주주총회소집공고,False,False
00417167,풍원정밀,371950,20240314000744,20240314,주주총회소집공고,False,False
00631837,안트로젠,065660,20260303002600,20260303,[기재정정]주주총회소집공고,True,False
00631837,안트로젠,065660,20260303002197,20260303,주주총회소집공고,False,False
00631837,안트로젠,065660,20250226004483,20250226,주주총회소집공고,False,False
00631837,안트로젠,065660,20240308000402,20240308,[기재정정]주주총회소집공고,True,False
00631837,안트로젠,065660,20240304000162,20240304,주주총회소집공고,False,False
00159254,한국전자홀딩스,006200,20260312000483,20260312,주주총회소집공고,False,False
00159254,한국전자홀딩스,006200,20250312000364,20250312,주주총회소집공고,False,False
00159254,한국전자홀딩스,006200,20240312000979,20240312,주주총회소집공고,False,False
00367385,효성오앤비,097870,20250912000138,20250912,주주총회소집공고,False,False
00367385,효성오앤비,097870,20240911000147,20240911,주주총회소집공고,False,False
00367385,효성오앤비,097870,20240626000044,20240626,주주총회소집공고,False,False
00632793,전진바이오팜,110020,20260309001684,20260309,주주총회소집공고,False,False
00632793,전진바이오팜,110020,20250305000704,20250305,주주총회소집공고,False,False
00632793,전진바이오팜,110020,20240314001490,20240314,[기재정정]주주총회소집공고,True,False
00632793,전진바이오팜,110020,20240313001417,20240313,주주총회소집공고,False,False
00632793,전진바이오팜,110020,20240116000352,20240116,[기재정정]주주총회소집공고,True,False
00632793,전진바이오팜,110020,20240109000297,20240109,[기재정정]주주총회소집공고,True,False
01366824,제이엠멀티,254160,20260311003692,20260311,주주총회소집공고,False,False
01366824,제이엠멀티,254160,20250430000928,20250430,[기재정정]주주총회소집공고,True,False
01366824,제이엠멀티,254160,20250311000764,20250311,주주총회소집공고,False,False
01366824,제이엠멀티,254160,20240927000627,20240927,주주총회소집공고,False,False
01366824,제이엠멀티,254160,20240312000724,20240312,주주총회소집공고,False,False
00168401,금비,008870,20251208000311,20251208,주주총회소집공고,False,False
00168401,금비,008870,20241212000291,20241212,주주총회소집공고,False,False
01407909,원텍,336570,20260310002512,20260310,주주총회소집공고,False,False
01407909,원텍,336570,20250321000343,20250321,[기재정정]주주총회소집공고,True,False
01407909,원텍,336570,20250310000330,20250310,주주총회소집공고,False,False
01407909,원텍,336570,20240307000262,20240307,주주총회소집공고,False,False
00648721,SNT에너지,100840,20260212001604,20260212,[기재정정]주주총회소집공고,True,False
00648721,SNT에너지,100840,20260212000314,20260212,주주총회소집공고,False,False
00648721,SNT에너지,100840,20250213000066,20250213,주주총회소집공고,False,False
00648721,SNT에너지,100840,20240214000089,20240214,주주총회소집공고,False,False
01208849,나인테크,267320,20260227008893,20260227,주주총회소집공고,False,False
01208849,나인테크,267320,20250312000363,20250312,주주총회소집공고,False,False
01208849,나인테크,267320,20240312000024,20240312,주주총회소집공고,False,False
01135640,이삭엔지니어링,351330,20260316001025,20260316,주주총회소집공고,False,False
01135640,이삭엔지니어링,351330,20250314001478,20250314,[기재정정]주주총회소집공고,True,False
01135640,이삭엔지니어링,351330,20250314001346,20250314,주주총회소집공고,False,False
01135640,이삭엔지니어링,351330,20240314000433,20240314,주주총회소집공고,False,False
01187458,에스알바이오텍,270210,20260309001780,20260309,주주총회소집공고,False,False
01187458,에스알바이오텍,270210,20250312000138,20250312,주주총회소집공고,False,False
01187458,에스알바이오텍,270210,20240521000085,20240521,주주총회소집공고,False,False
01187458,에스알바이오텍,270210,20240313001423,20240313,주주총회소집공고,False,False
01046708,바디텍메드,206640,20260311003612,20260311,[기재정정]주주총회소집공고,True,False
01046708,바디텍메드,206640,20260311003376,20260311,주주총회소집공고,False,False
