market,rank,ticker,company,rcept_dt,rcept_no,report_nm,category,plan_title,implementation_sections_count,embedded_results_count,implementation_tag_counts
KOSPI,60,030200,케이티,20241028,20241028800759,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,61,259960,크래프톤,20260430,20260430800856,기업가치제고계획(자율공시)              (2026년),plan,2026년 ㈜크래프톤 기업가치 제고 계획,1,0,"{""implementation_status"": 1}"
KOSPI,62,047050,포스코인터내셔널,20260420,20260420800500,기업가치제고계획(자율공시)              ((이행현황)),progress,(주)포스코인터내셔널 기업가치 제고 계획 이행결과,2,0,"{""implementation_status"": 2}"
KOSPI,62,047050,포스코인터내셔널,20260326,20260326801928,기업가치제고계획(자율공시)              ,plan,포스코인터내셔널의 기업 및 주주가치 제고 계획 ('25년~'27년),1,0,"{""future_plan"": 1}"
KOSPI,62,047050,포스코인터내셔널,20241223,20241223800272,기업가치제고계획(자율공시)              ,plan,포스코인터내셔널의 기업 및 주주가치 제고 계획 (‘25년~’27년),1,0,"{""future_plan"": 1}"
KOSPI,62,047050,포스코인터내셔널,20240829,20240829800053,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,63,010950,S-Oil,20260316,20260316801696,기업가치제고계획(자율공시)              (2026년),plan,2026년 에쓰-오일 기업가치 제고 계획,1,0,"{""implementation_status"": 1}"
KOSPI,63,010950,S-Oil,20250317,20250317800384,기업가치제고계획(자율공시)              (2025년),plan,2025년 에쓰-오일 기업가치 제고 계획,0,0,{}
KOSPI,65,005940,NH투자증권,20260327,20260327800367,기업가치제고계획(자율공시)              ,plan,NH투자증권㈜ 기업가치 제고 계획,1,0,"{""implementation_status"": 1}"
KOSPI,65,005940,NH투자증권,20241219,20241219800020,기업가치제고계획(자율공시)              ,plan,NH투자증권㈜ 기업가치 제고 계획,1,0,"{""implementation_status"": 1}"
KOSPI,65,005940,NH투자증권,20240830,20240830800480,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,66,016360,삼성증권,20260320,20260320801440,기업가치제고계획(자율공시)              ,plan,2026년 삼성증권 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,67,443060,HD현대마린솔루션,20260325,20260325800745,기업가치제고계획(자율공시)              ,plan,2026 HD현대마린솔루션 기업가치 제고 계획,1,0,"{""implementation_status"": 1}"
KOSPI,67,443060,HD현대마린솔루션,20251226,20251226800327,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,67,443060,HD현대마린솔루션,20241217,20241217800056,기업가치제고계획(자율공시)              ,plan,2024 HD현대마린솔루션 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,68,323410,카카오뱅크,20260327,20260327800287,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,(고배당기업 해당) 2025년 (주)카카오뱅크 기업가치 제고 계획 이행 현황,1,0,"{""meta_reference"": 1}"
KOSPI,68,323410,카카오뱅크,20251105,20251105800010,기업가치제고계획(자율공시)              (이행현황),progress,2025년 (주)카카오뱅크 기업가치 제고 계획 이행 현황,0,0,{}
KOSPI,68,323410,카카오뱅크,20241126,20241126800027,기업가치제고계획(자율공시)              ,plan,2024년 (주)카카오뱅크 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,68,323410,카카오뱅크,20240807,20240807800010,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,70,039490,키움증권,20260326,20260326803412,기업가치제고계획(자율공시)              ((고배당기업 표시를 위한 재공시)),meta_amendment,2024년 키움증권(주) 기업가치 제고 계획(자율공시) (고배당기업 표시를 위한 재공시),1,0,"{""implementation_status"": 1}"
KOSPI,70,039490,키움증권,20250326,20250326802345,기업가치제고계획(자율공시)              ,progress,2024년 키움증권(주) 기업가치 제고 계획 이행현황,1,0,"{""implementation_status"": 1}"
KOSPI,70,039490,키움증권,20240528,20240528800399,기업가치제고계획(자율공시)              ,plan,2024년 키움증권(주) 기업가치 제고 계획,0,0,{}
KOSPI,71,028050,삼성E&A,20260320,20260320801193,기업가치제고계획(자율공시)              ,plan,2026년 삼성E A 기업가치 제고 계획,0,0,{}
KOSPI,72,352820,하이브,20260423,20260423800633,기업가치제고계획(자율공시)              ,plan,2026년 (주)하이브 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
