isu_cd,effective_date,factor,event_type,source,evidence,price_check,confidence,note
224060,20221111,0.0499999925880086,reduction,v1+ledger,20221110000175,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
225190,20240422,5,split,v1+ledger,20240419900620,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
225220,20210408,2,bonus,disclosure,20210322000172,warn,confirmed,"신주 4,783,590 = 공시 bonus | 주식수반영일 20210429"
225220,20230419,1.93379427252886,bonus,disclosure,20230417000323,warn,confirmed,"신주 9,266,514 = 공시 bonus | 주식수반영일 20230515"
225330,20170728,4,bonus,disclosure,20170712000077,warn,confirmed,"신주 13,916,265 = 공시 bonus | 주식수반영일 20170822"
225430,20260519,0.2,merge,v1+ledger,20260518900831,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
225530,20160929,2,bonus,disclosure,20160908000058,warn,confirmed,"신주 11,490,000 = 공시 bonus | 주식수반영일 20161025"
225530,20170105,1.5,bonus,disclosure,20161216000290,pass,confirmed,"신주 11,490,000 = 공시 bonus | 주식수반영일 20170202"
225570,20180509,0.202449677142947,merge,v1+ledger,20180503900674,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
225590,20260521,0.199999984379199,merge,v1+ledger,20260520900436,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
226320,20160426,2,bonus,disclosure,20160415000096,warn,confirmed,"신주 8,735,650 = 공시 bonus | 주식수반영일 20160517"
226360,20240423,0.124999998026875,reduction,v1+ledger,20240329002679,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
226400,20200624,1.49164765809782,bonus,disclosure,20200609000070,pass,confirmed,"신주 4,158,585 = 공시 bonus | 주식수반영일 20200715"
226950,20201203,2,mixed,disclosure,20201119000212,warn,confirmed,"신주 6,771,030 = 공시 mixed | 주식수반영일 20201222"
227100,20240307,1.23253557583213,bonus,v1+ledger,20240112000611,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
227610,20171121,1.68770959243501,bonus,disclosure,20171107000334,warn,confirmed,"신주 4,074,810 = 공시 bonus | 주식수반영일 20171214"
227610,20210129,2,bonus,disclosure,20210107000115,warn,confirmed,"신주 10,000,000 = 공시 bonus | 주식수반영일 20210219"
228670,20210603,2,bonus,disclosure,20210520000013,warn,confirmed,"신주 6,653,267 = 공시 bonus | 주식수반영일 20210623"
230240,20190517,0.19999998664666,merge,v1+ledger,20190516900406,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
230360,20180223,1.992839454807,bonus,disclosure,20180212000166,warn,confirmed,"신주 8,070,366 = 공시 bonus | 주식수반영일 20180316"
230360,20200820,2,bonus,disclosure,20200806000016,warn,confirmed,"신주 16,198,937 = 공시 bonus | 주식수반영일 20200910"
230980,20210503,2.99999917052734,bonus,disclosure,20210419000029,warn,confirmed,"신주 38,578,712 = 공시 bonus | 주식수반영일 20210525"
232680,20220419,2.4999942257489,bonus,disclosure,20220404001497,warn,confirmed,"신주 7,403,529 = 공시 bonus | 주식수반영일 20220511"
234080,20180425,2,split,v1+ledger,20180319800613,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
234100,20180717,5,split,v1+ledger,20180712900485,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
234300,20201117,1.19545059519504,mixed,disclosure,20201105000095,pass,confirmed,"신주 3,404,980 = 공시 mixed | 주식수반영일 20201207"
