bas_dd,n_stocks
20220325,2494
20220328,2495
20220329,2495
20220330,2495
20220331,2496
20220401,2497
20220404,2496
20220405,2496
20220406,2495
20220407,2496
20220408,2496
20220411,2495
20220412,2495
20220413,2495
20220414,2495
20220415,2494
20220418,2494
20220419,2494
20220420,2493
20220421,2494
20220422,2494
20220425,2494
20220426,2493
20220427,2494
20220428,2497
20220429,2498
20220502,2498
20220503,2498
20220504,2498
20220505,0
20220506,2498
20220509,2497
20220510,2497
20220511,2497
20220512,2497
20220513,2497
20220516,2498
20220517,2498
20220518,2497
20220519,2497
20220520,2498
20220523,2498
20220524,2498
20220525,2498
20220526,2499
20220527,2498
20220530,2498
20220531,2497
20220601,0
20220602,2497
20220603,2498
20220606,0
20220607,2498
20220608,2498
20220609,2498
20220610,2498
20220613,2498
20220614,2498
20220615,2498
20220616,2498
20220617,2499
20220620,2500
20220621,2500
20220622,2500
20220623,2502
20220624,2505
20220627,2504
20220628,2505
20220629,2505
20220630,2506
20220701,2507
20220704,2507
20220705,2507
20220706,2507
20220707,2508
20220708,2508
20220711,2508
20220712,2508
20220713,2508
20220714,2510
20220715,2508
20220718,2508
20220719,2508
20220720,2507
20220721,2508
20220722,2509
20220725,2509
20220726,2509
20220727,2509
20220728,2510
20220729,2512
20220801,2513
20220802,2513
20220803,2513
20220804,2515
20220805,2515
20220808,2515
20220809,2516
20220810,2516
20220811,2516
20220812,2516
20220815,0
20220816,2516
20220817,2516
20220818,2516
20220819,2516
20220822,2518
20220823,2518
20220824,2518
20220825,2518
20220826,2520
20220829,2520
20220830,2520
20220831,2520
20220901,2520
20220902,2520
20220905,2520
20220906,2520
20220907,2520
20220908,2520
20220909,0
20220912,0
20220913,2520
20220914,2520
20220915,2521
20220916,2521
20220919,2521
20220920,2521
20220921,2521
20220922,2521
20220923,2521
20220926,2521
20220927,2521
20220928,2521
20220929,2524
20220930,2525
20221003,0
20221004,2525
20221005,2525
20221006,2528
20221007,2531
20221010,0
20221011,2531
20221012,2531
20221013,2531
20221014,2532
20221017,2531
20221018,2531
20221019,2532
20221020,2536
20221021,2537
20221024,2537
20221025,2537
20221026,2537
20221027,2538
20221028,2540
20221031,2539
20221101,2539
20221102,2541
20221103,2543
20221104,2544
20221107,2544
20221108,2544
20221109,2543
20221110,2543
20221111,2544
20221114,2545
20221115,2545
20221116,2545
20221117,2547
20221118,2549
20221121,2549
20221122,2550
20221123,2550
20221124,2551
20221125,2551
20221128,2553
20221129,2552
20221130,2552
20221201,2554
20221202,2554
20221205,2555
20221206,2556
20221207,2556
20221208,2556
20221209,2556
20221212,2556
20221213,2556
20221214,2556
20221215,2556
20221216,2556
20221219,2556
20221220,2556
20221221,2556
20221222,2558
20221223,2558
20221226,2557
20221227,2558
20221228,2558
20221229,2558
20221230,0
20230102,2558
20230103,2558
20230104,2558
20230105,2558
20230106,2558
20230109,2558
20230110,2558
20230111,2558
20230112,2558
20230113,2558
20230116,2558
20230117,2557
20230118,2557
20230119,2559
20230120,2559
20230123,0
20230124,0
20230125,2559
20230126,2559
20230127,2560
20230130,2561
20230131,2563
20230201,2563
20230202,2562
20230203,2563
20230206,2563
20230207,2564
20230208,2564
20230209,2565
20230210,2565
20230213,2565
20230214,2565
20230215,2566
20230216,2567
20230217,2567
20230220,2568
20230221,2566
20230222,2566
20230223,2566
20230224,2567
20230227,2567
20230228,2568
20230301,0
20230302,2569
20230303,2570
20230306,2570
20230307,2572
20230308,2572
20230309,2573
20230310,2572
20230313,2573
20230314,2573
20230315,2574
20230316,2574
20230317,2575
20230320,2575
20230321,2575
20230322,2575
20230323,2575
20230324,2575
20230327,2576
20230328,2576
20230329,2577
20230330,2577
20230331,2579
20230403,2579
20230404,2579
20230405,2579
20230406,2581
20230407,2582
20230410,2584
20230411,2584
20230412,2584
20230413,2584
20230414,2583
20230417,2583
20230418,2583
20230419,2583
20230420,2583
20230421,2583
20230424,2583
20230425,2582
20230426,2583
20230427,2584
20230428,2584
20230501,0
20230502,2584
20230503,2584
20230504,2585
20230505,0
20230508,2584
20230509,2584
20230510,2584
20230511,2584
20230512,2584
20230515,2584
20230516,2584
20230517,2585
20230518,2585
20230519,2587
20230522,2587
20230523,2587
20230524,2588
20230525,2588
20230526,2588
20230529,0
20230530,2589
20230531,2590
20230601,2591
20230602,2592
20230605,2592
20230606,0
20230607,2592
20230608,2593
20230609,2593
20230612,2593
20230613,2593
20230614,2593
20230615,2594
20230616,2597
20230619,2597
20230620,2597
20230621,2597
20230622,2598
20230623,2600
20230626,2600
20230627,2600
20230628,2601
20230629,2602
20230630,2604
20230703,2604
20230704,2604
20230705,2604
20230706,2606
20230707,2606
20230710,2606
20230711,2606
20230712,2607
20230713,2607
20230714,2608
20230717,2601
20230718,2601
20230719,2602
20230720,2603
20230721,2603
20230724,2604
20230725,2604
20230726,2605
20230727,2608
20230728,2609
20230731,2609
20230801,2609
20230802,2609
20230803,2610
20230804,2611
20230807,2612
20230808,2612
20230809,2612
20230810,2616
20230811,2617
20230814,2616
20230815,0
20230816,2616
20230817,2617
20230818,2617
20230821,2618
20230822,2619
20230823,2619
20230824,2620
20230825,2620
20230828,2618
20230829,2618
20230830,2620
20230831,2620
20230901,2621
20230904,2622
20230905,2622
20230906,2622
20230907,2623
20230908,2623
20230911,2623
20230912,2623
