market,rank,ticker,company,market_cap
KOSPI,420,004430,송원산업,"2,875"
KOSPI,421,000430,대원강업,"2,821"
KOSPI,422,005680,삼영전자공업,"2,788"
KOSPI,423,002320,한진,"2,781"
KOSPI,424,009470,삼화전기,"2,778"
KOSPI,425,004380,삼익THK,"2,774"
KOSPI,426,088260,이리츠코크렙,"2,768"
KOSPI,427,334890,이지스밸류플러스리츠,"2,768"
KOSPI,428,008490,서흥,"2,765"
KOSPI,429,475560,더본코리아,"2,755"
KOSPI,430,000050,경방,"2,750"
KOSPI,431,003960,사조대림,"2,749"
KOSPI,432,092220,KEC,"2,726"
KOSPI,433,000490,대동,"2,721"
KOSPI,434,001340,PKC,"2,721"
KOSPI,435,037710,광주신세계,"2,711"
KOSPI,436,001460,BYC,"2,711"
KOSPI,437,037270,YG PLUS,"2,709"
KOSPI,438,004360,세방,"2,693"
KOSPI,439,003520,영진약품,"2,692"
KOSPI,440,226320,잇츠한불,"2,678"
KOSPI,441,003120,일성아이에스,"2,667"
KOSPI,442,244920,에이플러스에셋,"2,625"
KOSPI,443,034120,SBS,"2,608"
KOSPI,444,000320,노루홀딩스,"2,600"
KOSPI,445,003200,일신방직,"2,590"
KOSPI,446,003070,코오롱글로벌,"2,586"
KOSPI,447,000540,흥국화재,"2,563"
KOSPI,448,136490,선진,"2,549"
KOSPI,449,053690,한미글로벌,"2,548"
KOSPI,450,004560,현대비앤지스틸,"2,538"
KOSPI,451,012610,경인양행,"2,534"
KOSPI,452,044450,KSS해운,"2,533"
KOSPI,453,001780,알루코,"2,522"
KOSPI,454,432320,KB스타리츠,"2,509"
KOSPI,455,134380,미원화학,"2,481"
KOSPI,456,122900,아이마켓코리아,"2,470"
KOSPI,457,030210,다올투자증권,"2,455"
KOSPI,458,004310,현대약품,"2,451"
KOSPI,459,007160,사조산업,"2,435"
KOSPI,460,010580,에스엠벡셀,"2,425"
KOSPI,461,033530,SJG세종,"2,420"
KOSPI,462,241590,화승엔터프라이즈,"2,402"
KOSPI,463,005430,한국공항,"2,400"
KOSPI,464,013890,지누스,"2,368"
KOSPI,465,001790,대한제당,"2,367"
KOSPI,466,377190,디앤디플랫폼리츠,"2,365"
KOSPI,467,404990,신한서부티엔디리츠,"2,342"
KOSPI,468,004980,성신양회,"2,339"
KOSPI,469,012200,계양전기,"2,333"
KOSPI,470,348950,제이알글로벌리츠,"2,333"
KOSPI,471,035150,백산,"2,323"
KOSPI,472,011690,와이투솔루션,"2,320"
KOSPI,473,033920,무학,"2,308"
KOSPI,474,001630,종근당홀딩스,"2,307"
